player_name,product_link,product_title,price,availability,Presentation,SKU,Product type(s),Signed by,Team Name,Presentation type,Bin Number,Getty Images,Source,Presentation size,Photo size,Signing Date,Signing Location,Additional Signing Date 2
Aaron Cresswell,https://www.icons.com/aaron-cresswell-signed-england-photo-1.html,Aaron Cresswell Signed England Photo In Premium Photo Frame,249.99,True,,ICACEP1PPF,Signed photos,Aaron Cresswell,England,Framed,D78,N/A,Icons Shop Limited,,16 x 12 inches,29 Aug 2017,Burton upon Trent,
Aaron Cresswell,https://www.icons.com/aaron-cresswell-signed-england-photo.html,Aaron Cresswell Signed England Photo,149.99,True,,ICACEP1,Signed photos,Aaron Cresswell,England,Unframed,D78,N/A,Icons Shop Limited,,16 x 12 inches,29 Aug 2017,Burton upon Trent,
Aaron Cresswell,https://www.icons.com/aaron-cresswell-england-back-signed-2016-17-home-shirt.html,Aaron Cresswell England Back Signed 2016-17 Home Shirt,99.99,False,,ICACES1ENG,Signed shirts,Aaron Cresswell,,Unframed,H14,N/A,,,,29 Aug 2017,Burton upon Trent,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-nike-phantom-boot-in-acrylic-case-96703.html,Kevin De Bruyne Signed Nike Phantom Boot In Acrylic Case,329.99,True,,I2807AD,Signed boots,Kevin De Bruyne,Manchester City,Acrylic Cased,P19,N/A,KLF Sports,340mm (W) x 230mm (D) x 190mm (H),,21 Feb 2024,Manchester,
Kevin De Bruyne,https://www.icons.com/warehouse-seconds-kevin-de-bruyne-manchester-city-shirt-2873684.html,WAREHOUSE SECONDS Kevin De Bruyne Signed Manchester City 2023-24 Home Shirt GRADE A,149.99,False,,Z2618,Signed shirts,Kevin De Bruyne,Manchester City,Unframed,S2,N/A,,,,,,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-belgium-2022-home-shirt-low-down-on-number-in-hero-frame-option-1-14856.html,Kevin De Bruyne Signed Belgium 2022 Home Shirt In Hero Frame: Option 1,599.99,False,,I2808HF1,Signed shirts,Kevin De Bruyne,Belgium,Framed,O13,N/A,KLF Sports,1015mm (W) x 750mm (H) x 25mm (D),,21 Feb 2024,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-belgium-2022-home-shirt-low-down-on-number-in-classic-frame-12749.html,Kevin De Bruyne Signed Belgium 2022 Home Shirt In Classic Frame,574.99,False,,I2808CF,Signed shirts,Kevin De Bruyne,Belgium,Framed,O13,N/A,KLF Sports,885mm (H) x 780mm (W) x 30mm (D),,21 Feb 2024,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-belgium-2022-home-shirt-in-classic-frame-71259.html,Kevin De Bruyne Signed Belgium 2022 Home Shirt In Classic Frame,574.99,False,,I2805CF,Signed shirts,Kevin De Bruyne,Belgium,Framed,O19,N/A,KLF Sports,885mm (H) x 780mm (W) x 30mm (D),,21 Feb 2024,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-belgium-2022-home-shirt-in-hero-frame-option-1-68593.html,Kevin De Bruyne Signed Belgium 2022 Home Shirt In Hero Frame: Option 1,599.99,False,,I2805HF1,Signed shirts,Kevin De Bruyne,Belgium,Framed,O19,N/A,KLF Sports,1015mm (W) x 750mm (H) x 25mm (D),,21 Feb 2024,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-belgium-2022-home-shirt-41698.html,Kevin De Bruyne Signed Belgium 2022 Home Shirt,399.99,False,,I2805,Signed shirts,Kevin De Bruyne,Belgium,Unframed,O19,N/A,KLF Sports,,,21 Feb 2024,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-manchester-city-captain-s-armband-79514.html,Kevin De Bruyne Signed Manchester City Captain's Armband,199.99,False,,I2804,Miscellaneous,Kevin De Bruyne,Manchester City,Unframed,Q1,,KLF Sports,,,21 Feb 2024,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-back-signed-belgium-2022-home-shirt-in-hero-frame-option-1-54827.html,Kevin De Bruyne Back Signed Belgium 2022 Home Shirt In Hero Frame: Option 1,549.99,False,,I1734HF1,Signed shirts,Kevin De Bruyne,Belgium,Framed,O5,N/A,KLF Sports,1015mm (W) x 750mm (H) x 25mm (D),,11 Apr 2023,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-back-signed-belgium-2022-home-shirt-in-classic-frame-20593.html,Kevin De Bruyne Back Signed Belgium 2022 Home Shirt In Classic Frame,524.99,False,,I1734CF,Signed shirts,Kevin De Bruyne,Belgium,Framed,O5,N/A,KLF Sports,885mm (H) x 780mm (W) x 30mm (D),,11 Apr 2023,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-nike-phantom-boot-87642.html,Kevin De Bruyne Signed Nike Phantom Boot,179.99,False,,I1736,Signed boots,Kevin De Bruyne,,Unframed,P12,N/A,KLF Sports,,,11 Apr 2023,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-manchester-city-branded-captains-armband-68107.html,Kevin De Bruyne Signed Manchester City Branded Captain's Armband,149.99,False,,I1735,Miscellaneous,Kevin De Bruyne,Manchester City,Unframed,M1,N/A,KLF Sports,,,11 Apr 2023,Manchester,
