player_name,signature_worth
Eduardo Camavinga,724.99
Pierre-Emerick Aubameyang,699.99
Karim Benzema,674.99
Sergio Busquets,591.6583333333333
Jordi Alba,574.99
Kevin De Bruyne,562.49
Jarrod Bowen,561.24
Alisson Becker,499.99
Casemiro,464.991
Sebastian Cordova,424.99
Michail Antonio,412.49
Dominic Calvert-Lewin,399.99
Trent Alexander-Arnold,399.27571428571434
Santi Cazorla,299.99
Jack Butland,299.99
Philippe Coutinho,284.99
Dele Alli,279.6964705882353
